,time,diff
126,2019-01-07 08:00:00,-0.00042440393
127,2019-01-07 08:29:52,0.0032746932
128,2019-01-07 08:59:44,-0.00034001208
129,2019-01-07 09:29:36,-0.013195872
130,2019-01-07 09:59:28,0.0067914277
131,2019-01-07 10:29:20,0.004202515
132,2019-01-07 10:59:12,-0.0014385991
133,2019-01-07 11:29:04,-0.0062735854
134,2019-01-07 11:58:56,-0.0042462735
135,2019-01-07 12:30:56,0.03442918
136,2019-01-07 13:00:48,-0.03726205
137,2019-01-07 13:30:40,0.019145738
138,2019-01-07 14:00:32,-0.023350354
139,2019-01-07 14:30:24,0.04581844
140,2019-01-07 15:00:16,-0.03703926
141,2019-01-07 15:30:08,0.0076877433
142,2019-01-07 16:00:00,0.0022153854
143,2019-01-07 16:29:52,-0.007610134
144,2019-01-07 16:59:44,0.0011033416
145,2019-01-07 17:29:36,-0.005555804
146,2019-01-07 17:59:28,0.0006497304
147,2019-01-07 18:29:20,-0.01589466
148,2019-01-07 18:59:12,0.005977723
149,2019-01-07 19:29:04,-0.004409075
150,2019-01-07 20:01:04,0.0024944544
151,2019-01-07 20:30:56,-0.0038039794
152,2019-01-07 21:00:48,0.0034270124
153,2019-01-07 21:30:40,-0.013020608
154,2019-01-07 22:00:32,-0.0014744672
155,2019-01-07 22:30:24,0.00784533
156,2019-01-07 23:00:16,-0.0029823661
157,2019-01-07 23:30:08,-0.014796531
158,2019-01-08 00:00:00,0.011406315
159,2019-01-08 00:29:52,0.009119225
160,2019-01-08 00:59:44,-0.012905717
161,2019-01-08 01:29:36,-0.0077411174
162,2019-01-08 01:59:28,0.015457094
163,2019-01-08 02:29:20,-0.0113289
164,2019-01-08 02:59:12,0.003152001
165,2019-01-08 03:29:04,0.0027943717
166,2019-01-08 03:58:56,-0.009774016
167,2019-01-08 04:30:56,0.006303125
168,2019-01-08 05:00:48,-0.0035530925
169,2019-01-08 05:30:40,0.0044011474
170,2019-01-08 06:00:32,-0.014808074
171,2019-01-08 06:30:24,0.0018611209
172,2019-01-08 07:00:16,0.0037556547
173,2019-01-08 07:30:08,0.00059496507
174,2019-01-08 08:00:00,0.0062385118
175,2019-01-08 08:29:52,-0.005574984
176,2019-01-08 08:59:44,-0.013339733
